id;title;netflix;hulu;hbo;amazonprime
218;The Diary of Anne Frank;;;;
219;The Nun's Story;;;;
220;Room at the Top;;;;
221;The Apartment;;;;
222;The Alamo;;;;
223;Elmer Gantry;;;;
224;Sons and Lovers;;;;
225;The Sundowners;;;;
226;West Side Story;;;GWi7pcQVp92G9vAEAAAD0;
227;Fanny;;;;
228;The Guns of Navarone;;;;
229;The Hustler;;;;
230;Judgment at Nuremberg;;;;
231;Lawrence of Arabia;;1245468;;
232;The Longest Day;;;;
233;The Music Man;;;;
234;Mutiny on the Bounty;;;;
235;To Kill a Mockingbird;1051852;;;
236;Tom Jones;;;;
237;America America;;;;
238;Cleopatra;;;GWqvQ1QMf8il0YAEAAACh;
239;How the West Was Won;;;;
240;Lilies of the Field;;;;
241;My Fair Lady;;;;
242;Becket;;;;
243;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;;1246788;;
244;Mary Poppins;;;;
245;Zorba the Greek;;;;
246;The Sound of Music;;;;
247;Darling;;;;
248;Doctor Zhivago;;;;
249;Ship of Fools;;;;
250;A Thousand Clowns;;;;
251;A Man for All Seasons;;;;
252;Alfie;;;;
253;The Russians Are Coming, the Russians Are Coming;;;;
254;The Sand Pebbles;;;;
255;Who's Afraid of Virginia Woolf?;;;;
256;In the Heat of the Night;;;;
257;Bonnie and Clyde;;;;
258;Doctor Dolittle;;;;
259;The Graduate;;;;
260;Guess Who's Coming to Dinner;;;;
261;Oliver!;;;;
262;Funny Girl;;;;
263;The Lion in Winter;;;;
264;Rachel, Rachel;;;;
265;Romeo and Juliet;;;;
266;Midnight Cowboy;;;;
267;Anne of the Thousand Days;;;;
268;Butch Cassidy and the Sundance Kid;;;GWtYhew4w1bi8vQEAAACt;
269;Hello, Dolly!;;;;
270;Z;;;;
271;Patton;;;;
272;Airport;;;;
273;Five Easy Pieces;;;;
274;Love Story;;;;
275;M*A*S*H;;;;
276;The French Connection;;;GWl5f_wyyvsLDfQEAAACF;
277;A Clockwork Orange;;;;
278;Fiddler on the Roof;;;;
279;The Last Picture Show;;;;
280;Nicholas and Alexandra;;;;
281;The Godfather;60011152;;;
282;Cabaret;;;;
283;Deliverance;;;;
284;The Emigrants;;;;
285;Sounder;;;;
286;The Sting;;;;
287;American Graffiti;;;;
288;Cries and Whispers;;;;
289;The Exorcist;;;;
290;A Touch of Class;;;;
291;The Godfather Part II;60011663;;;
292;Chinatown;;;;
293;The Conversation;;;;
294;Lenny;;;;
295;The Towering Inferno;;;;
296;One Flew Over the Cuckoo's Nest;;;;
297;Barry Lyndon;;;;
298;Dog Day Afternoon;;;;
299;Jaws;;;;
300;Nashville;;;;
301;Rocky;;589045;;
302;All the President's Men;;;;
303;Bound for Glory;;;;
304;Network;;;;
305;Taxi Driver;;1245465;;
306;Annie Hall;;;;
307;The Goodbye Girl;;;;
308;Julia;;;GWl5kJAgD34bDRgEAAAFe;
309;Star Wars;;;;
310;The Turning Point;;;;
311;The Deer Hunter;;;;
312;Coming Home;;;;
313;Heaven Can Wait;;;;
314;Midnight Express;;;;
315;An Unmarried Woman;;;;
316;Kramer vs. Kramer;;;;
317;All That Jazz;;;;
318;Apocalypse Now;;;;
319;Breaking Away;;;;
320;Norma Rae;;;;
321;Ordinary People;;;;
322;Coal Miner's Daughter;;;;
